Date	Device	Signal
Wed Jul  1 12:03:47 2015	GX15	-87
Wed Jul  1 12:03:47 2015	GX15	-92
Wed Jul  1 12:03:58 2015	GX15	-83
Wed Jul  1 12:03:58 2015	GX15	-84
Wed Jul  1 12:03:58 2015	GX15	-88
Wed Jul  1 12:03:58 2015	Martina?s MacBook Pro	-90
Wed Jul  1 12:03:58 2015	GX15	-89
Wed Jul  1 12:04:08 2015	GX15	-84
Wed Jul  1 12:04:19 2015	GX15	-89
Wed Jul  1 12:04:19 2015	GX15	-90
Wed Jul  1 12:04:50 2015	GX15	-90
Wed Jul  1 12:04:50 2015	GX15	-85
Wed Jul  1 12:04:50 2015	GX15	-88
Wed Jul  1 12:05:01 2015	SEC02GJ54SDV7M	-88
Wed Jul  1 12:05:01 2015	GX15	-78
Wed Jul  1 12:05:22 2015	GX15	-85
Wed Jul  1 12:05:22 2015	GX15	-80
Wed Jul  1 12:05:22 2015	GX15	-83
Wed Jul  1 12:05:22 2015	GX15	-85
Wed Jul  1 12:05:22 2015	S5610	-89
Wed Jul  1 12:05:32 2015	Martina?s MacBook Pro	-89
Wed Jul  1 12:05:32 2015	S5610	-85
Wed Jul  1 12:05:32 2015	Feild?s MacBook Pro	-91
Wed Jul  1 12:05:43 2015	GX15	-89
Wed Jul  1 12:05:43 2015	S5610	-87
Wed Jul  1 12:05:43 2015	S5610	-82
Wed Jul  1 12:05:43 2015	S5610	-88
Wed Jul  1 12:05:43 2015	S5610	-85
Wed Jul  1 12:05:53 2015	S5610	-90
Wed Jul  1 12:05:53 2015	S5610	-85
Wed Jul  1 12:06:04 2015	S5610	-85
Wed Jul  1 12:06:04 2015	S5610	-91
Wed Jul  1 12:06:25 2015	GX15	-87
Wed Jul  1 12:06:25 2015	GX15	-88
Wed Jul  1 12:06:35 2015	GX15	-87
Wed Jul  1 12:06:35 2015	GX15	-82
Wed Jul  1 12:06:35 2015	edc	-91
Wed Jul  1 12:06:46 2015	GX15	-88
Wed Jul  1 12:06:56 2015	GX15	-85
Wed Jul  1 12:06:56 2015	GX15	-83
Wed Jul  1 12:06:56 2015	S5610	-85
Wed Jul  1 12:06:56 2015	GX15	-89
Wed Jul  1 12:07:07 2015	edc	-90
Wed Jul  1 12:07:07 2015	S5610	-90
Wed Jul  1 12:07:07 2015	S5610	-87
Wed Jul  1 12:07:07 2015	GX15	-82
Wed Jul  1 12:07:07 2015	S5610	-89
Wed Jul  1 12:07:07 2015	GX15	-88
Wed Jul  1 12:07:17 2015	GX15	-84
Wed Jul  1 12:07:17 2015	GX15	-92
Wed Jul  1 12:07:38 2015	GX15	-87
Wed Jul  1 12:07:38 2015	GX15	-91
Wed Jul  1 12:07:38 2015	Martina?s MacBook Pro	-89
Wed Jul  1 12:07:49 2015	GX15	-82
Wed Jul  1 12:07:49 2015	GX15	-84
Wed Jul  1 12:07:59 2015	GX15	-88
Wed Jul  1 12:07:59 2015	GX15	-87
Wed Jul  1 12:07:59 2015	S5610	-90
Wed Jul  1 12:07:59 2015	GX15	-90
Wed Jul  1 12:07:59 2015	GX15	-87
Wed Jul  1 12:08:21 2015	S5610	-82
Wed Jul  1 12:08:21 2015	S5610	-86
Wed Jul  1 12:08:21 2015	GX15	-88
Wed Jul  1 12:08:21 2015	GX15	-91
Wed Jul  1 12:08:21 2015	GX15	-92
Wed Jul  1 12:08:21 2015	GX15	-83
Wed Jul  1 12:08:31 2015	S5610	-86
Wed Jul  1 12:08:31 2015	GX15	-84
Wed Jul  1 12:08:31 2015	S5610	-84
Wed Jul  1 12:08:31 2015	S5610	-85
Wed Jul  1 12:08:31 2015	S5610	-89
Wed Jul  1 12:08:31 2015	GX15	-87
Wed Jul  1 12:08:31 2015	GX15	-88
Wed Jul  1 12:08:31 2015	GX15	-87
Wed Jul  1 12:08:31 2015	GX15	-83
Wed Jul  1 12:08:31 2015	GX15	-81
Wed Jul  1 12:08:31 2015	GX15	-82
Wed Jul  1 12:08:31 2015	S5610	-88
Wed Jul  1 12:08:31 2015	S5610	-86
Wed Jul  1 12:08:31 2015	S5610	-87
Wed Jul  1 12:08:42 2015	SEC02GJ54SDV7M	-89
Wed Jul  1 12:08:42 2015	S5610	-85
Wed Jul  1 12:08:42 2015	S5610	-88
Wed Jul  1 12:08:42 2015	GX15	-90
Wed Jul  1 12:08:42 2015	S5610	-87
Wed Jul  1 12:08:53 2015	S5610	-84
Wed Jul  1 12:08:53 2015	GX15	-87
Wed Jul  1 12:08:53 2015	GX15	-83
Wed Jul  1 12:08:53 2015	GX15	-82
Wed Jul  1 12:09:03 2015	GX15	-87
Wed Jul  1 12:09:03 2015	GX15	-85
Wed Jul  1 12:09:14 2015	S5610	-81
Wed Jul  1 12:09:14 2015	S5610	-84
Wed Jul  1 12:09:14 2015	S5610	-75
Wed Jul  1 12:09:14 2015	S5610	-86
Wed Jul  1 12:09:14 2015	GX15	-91
Wed Jul  1 12:09:14 2015	GX15	-88
Wed Jul  1 12:09:14 2015	GX15	-91
Wed Jul  1 12:09:14 2015	S5610	-87
Wed Jul  1 12:09:56 2015	edc	-90
Wed Jul  1 12:10:06 2015	Martina?s MacBook Pro	-90
Wed Jul  1 12:10:06 2015	GX15	-87
Wed Jul  1 12:10:06 2015	Nokia108	-90
Wed Jul  1 12:10:06 2015	GX15	-86
Wed Jul  1 12:10:17 2015	GX15	-92
Wed Jul  1 12:10:17 2015	GX15	-83
Wed Jul  1 12:10:17 2015	Nokia108	-83
Wed Jul  1 12:10:27 2015	Nokia108	-90
Wed Jul  1 12:10:27 2015	GX15	-85
Wed Jul  1 12:10:27 2015	S5610	-82
Wed Jul  1 12:10:27 2015	GX15	-87
Wed Jul  1 12:10:27 2015	Nokia108	-87
Wed Jul  1 12:10:27 2015	GX15	-85
Wed Jul  1 12:10:38 2015	GX15	-89
Wed Jul  1 12:10:38 2015	S5610	-88
Wed Jul  1 12:10:38 2015	S5610	-89
Wed Jul  1 12:10:48 2015	S5610	-87
Wed Jul  1 12:10:48 2015	SEC02GJ54SDV7M	-88
Wed Jul  1 12:10:48 2015	GX15	-82
Wed Jul  1 12:10:48 2015	GX15	-83
Wed Jul  1 12:10:48 2015	Nokia108	-89
Wed Jul  1 12:10:48 2015	GX15	-85
Wed Jul  1 12:10:48 2015	S5610	-83
Wed Jul  1 12:10:48 2015	Nokia108	-86
Wed Jul  1 12:10:48 2015	Nokia108	-87
Wed Jul  1 12:10:59 2015	GX15	-81
Wed Jul  1 12:10:59 2015	Nokia108	-87
Wed Jul  1 12:10:59 2015	edc	-88
Wed Jul  1 12:11:10 2015	GX15	-83
Wed Jul  1 12:11:10 2015	GX15	-84
Wed Jul  1 12:11:20 2015	GX15	-90
Wed Jul  1 12:11:20 2015	Martina?s MacBook Pro	-92
Wed Jul  1 12:11:20 2015	SEC02GJ54SDV7M	-92
Wed Jul  1 12:11:20 2015	GX15	-85
Wed Jul  1 12:11:20 2015	S5610	-91
Wed Jul  1 12:11:20 2015	S5610	-88
Wed Jul  1 12:11:20 2015	GX15	-84
Wed Jul  1 12:11:20 2015	Nokia108	-88
Wed Jul  1 12:11:20 2015	GX15	-87
Wed Jul  1 12:11:31 2015	S5610	-87
Wed Jul  1 12:11:31 2015	GX15	-84
Wed Jul  1 12:11:31 2015	GX15	-91
Wed Jul  1 12:11:31 2015	GX15	-83
Wed Jul  1 12:11:31 2015	S5610	-85
Wed Jul  1 12:11:41 2015	Martina?s MacBook Pro	-83
Wed Jul  1 12:11:41 2015	GX15	-89
Wed Jul  1 12:11:52 2015	GX15	-82
Wed Jul  1 12:11:52 2015	GX15	-90
Wed Jul  1 12:12:02 2015	GX15	-85
Wed Jul  1 12:12:02 2015	GX15	-86
Wed Jul  1 12:12:02 2015	GX15	-92
Wed Jul  1 12:12:02 2015	GX15	-90
Wed Jul  1 12:12:13 2015	GX15	-85
Wed Jul  1 12:12:13 2015	GX15	-87
Wed Jul  1 12:12:13 2015	S5610	-90
Wed Jul  1 12:12:13 2015	GX15	-92
Wed Jul  1 12:12:23 2015	GX15	-88
Wed Jul  1 12:12:34 2015	Martina?s MacBook Pro	-83
Wed Jul  1 12:12:34 2015	GX15	-88
Wed Jul  1 12:12:34 2015	S5610	-90
Wed Jul  1 12:12:34 2015	S5610	-87
Wed Jul  1 12:12:34 2015	S5610	-85
Wed Jul  1 12:12:44 2015	S5610	-84
Wed Jul  1 12:12:44 2015	Martina?s MacBook Pro	-84
Wed Jul  1 12:12:44 2015	GX15	-88
Wed Jul  1 12:12:44 2015	GX15	-85
Wed Jul  1 12:12:44 2015	GX15	-83
Wed Jul  1 12:12:55 2015	Nokia108	-85
Wed Jul  1 12:12:55 2015	Nokia108	-95
Wed Jul  1 12:13:05 2015	GX15	-89
Wed Jul  1 12:13:05 2015	GX15	-83
Wed Jul  1 12:13:05 2015	GX15	-89
Wed Jul  1 12:13:16 2015	GX15	-85
Wed Jul  1 12:13:16 2015	S5610	-86
Wed Jul  1 12:13:16 2015	GX15	-84
Wed Jul  1 12:13:26 2015	Nokia108	-90
Wed Jul  1 12:13:26 2015	GX15	-85
Wed Jul  1 12:13:26 2015	SEC02GJ54SDV7M	-88
Wed Jul  1 12:13:26 2015	S5610	-90
Wed Jul  1 12:13:26 2015	GX15	-83
Wed Jul  1 12:13:26 2015	SEC02GJ54SDV7M	-96
Wed Jul  1 12:13:37 2015	GX15	-84
Wed Jul  1 12:13:37 2015	GX15	-81
Wed Jul  1 12:13:37 2015	GX15	-84
Wed Jul  1 12:13:37 2015	Nokia108	-82
Wed Jul  1 12:13:37 2015	Nokia108	-66
Wed Jul  1 12:13:37 2015	S5610	-90
Wed Jul  1 12:13:37 2015	Martina?s MacBook Pro	-93
Wed Jul  1 12:13:37 2015	SEC02GJ54SDV7M	-90
Wed Jul  1 12:13:37 2015	Nokia108	-57
Wed Jul  1 12:13:37 2015	Nokia108	-52
Wed Jul  1 12:13:37 2015	Nokia108	-74
